"Nom série","Note /5","Editeur","Genre","Scénariste","Dessinateur"
"Pays des elfes (le)","3.67 (9 avis)","Vents d'Ouest","Fantasy","Richard/Pini (Wendi)","Pini (Wendy)"
"Pedro et moi","3.75 (4 avis)","Cà et Là","Roman Graphique","Winick (Judd)","Winick (Judd)"
"Peep Show","3.67 (3 avis)","Les Humanoïdes Associés","Humour","Matt (Joe)","Matt (Joe)"
"Peine perdue","3.33 (6 avis)","Cà et Là","Roman Graphique","Doherty (Catherine)","Doherty (Catherine)"
"Petit roi (le)","4 (1 avis)","Horay","Humour","Soglow (Otto)","Soglow (Otto)"
"Petite Annie (la)","3 (1 avis)","SPE/Futuropolis/Rossel","Jeunesse","Verd/McClure (Darell)","Verd (Edward)"
"Petits miracles","3 (3 avis)","Delcourt","Roman Graphique","Eisner (Will)","Eisner (Will)"
"Pim Pam Poum","2.38 (8 avis)","Divers","Humour","Dirks (Rudolph)","Dirks (Rudolph)"
"Planetary","4 (2 avis)","Semic/Panini Comics","Science-Fiction","Ellis (Warren)","Cassaday (John)"
"Planètes pas Nettes","3 (1 avis)","Comics USA","Science-Fiction","Baron (Mike)","Holmes (Rand)"
"Plastic Man","2 (1 avis)","Les Humanoïdes Associés","Fantastique","Cole (Jack)","Cole (Jack)"
"Playboy (le)","1.5 (4 avis)","Les 400 Coups","Roman Graphique","Brown (Chester)","Brown (Chester)"
"Pogo","3 (1 avis)","Dupuis","Humour","Kelly (Walt)","Kelly (Walt)"
"Points de vues","3 (1 avis)","Cà et Là","Roman Graphique","Kuper (Peter)","Kuper (Peter)"
"Polly","3 (1 avis)","Futuropolis/Ed. de l'An 2","Jeunesse","Sterrett (Cliff)","Sterrett (Cliff)"
"Polly et les Pirates","3.5 (4 avis)","Les Humanoïdes Associés","Aventure","Naifeh (Ted)","Naifeh (Ted)"
"Pop gun war","3 (1 avis)","Kymera","Fantastique","Dalrymple (Farel)","Dalrymple (Farel)"
"Popeye (Denoël)","2 (1 avis)","Denoël Graphic","Humour","Segar (Elzie Crisler)","Segar (Elzie Crisler)"
"Popeye (Futuropolis)","3 (2 avis)","Futuropolis","Humour","Segar (Elzie Crisler)","Segar (Elzie Crisler)"
"Popol le joyeux pompier","4 (1 avis)","Futuropolis","Humour","Holman (Bill)","Holman (Bill)"
"Portrait du sorcier en jeune homme","3.5 (2 avis)","Akileos","Fantastique","Naifeh (Ted)","Naifeh (Ted)"
"Pourquoi je déteste Saturne","3.6 (5 avis)","Delcourt","Roman Graphique","Baker (Kyle)","Baker (Kyle)"
"Pourquoi Pete Duel s'est-il suicidé ?","2.5 (2 avis)","Paquet","Roman Graphique","Kalesniko (Mark)","Kalesniko (Mark)"
"Powers","3.33 (6 avis)","Semic","Policier/Thriller","Bendis (Brian Michael)","Oeming (Michael Avon)"
"Preacher","4 (7 avis)","Panini Comics","Aventure","Ennis (Garth)","Dillon (Steve)"
"Pride of Baghdad","3.5 (4 avis)","Panini Comics","Aventure","Vaughan (Brian K.)","Henrichon (Niko)"
"Privé de Hawaii (le)","3 (1 avis)","Bamboo","Policier/Thriller","Moore (Clay)","Griffin (Steven)"
"Pro (la)","2.67 (6 avis)","Editions USA","Humour","Ennis (Garth)","Conner (Amanda)/Palmiotti (Jimmy)"
"Promethea","3.33 (3 avis)","Semic/Panini Comics","Fantastique","Moore (Alan)","Williams III (J.H.)"
"Propeller Man","1 (1 avis)","Comics USA","Science-Fiction","Schultheiss (Matthias)","Schultheiss (Matthias)"
"Psychopark","3.75 (4 avis)","Vents d'Ouest","Humour","Cho (Frank)","Cho (Frank)"
"Punisher","3.25 (8 avis)","Panini Comics/Marvel","Policier/Thriller","Ennis (Garth)","Dillon (Steve)"
"Punisher - La fin","3.25 (4 avis)","Panini Comics/Marvel","Policier/Thriller","Ennis (Garth)","Corben (Richard)"
"Punisher - Zéro absolu (le)","2 (1 avis)","Panini Comics/Marvel","Policier/Thriller","Grant (Steven)","Zeck (Mike)"
"Pussey !","4 (2 avis)","Rackham","Humour","Clowes (Daniel)","Clowes (Daniel)"
"Putain, c’est la guerre !","1.67 (3 avis)","Denoël","Humour","Rees (David)","Rees (David)"
"Quand je serai vieille et autres histoires","3 (1 avis)","Editions de l'An 2","Roman Graphique","Bell (Gabrielle)","Bell (Gabrielle)"
"Queen & Country","3.5 (2 avis)","Semic","Policier/Thriller","Rucka (Greg)","Rolston (Steve)"
"Quimby the Mouse","2 (3 avis)","L'Association","Inclassable","Ware (Chris)","Ware (Chris)"
"Raoul et Gaston (Tim Tyler's Luck)","4 (1 avis)","Hachette/Flammarion/Celeg/RTP/Futuropolis","Aventure","Young (Lyman)","Young (Lyman)"
"Rayban Dog","1 (1 avis)","Paquet","Inclassable","Murphy","Redolfi (Tommy)"
"Red Ryder","4 (1 avis)","Dupuis/Futuropolis","Western","Harman (Fred)","Harman (Fred)"
"Remains","2.67 (3 avis)","Bamboo","Fantastique","Niles (Steve)","Dwyer"
"Réminiscences","4 (1 avis)","Emmanuel Proust Éditions","Policier/Thriller","Ptoma","Ptoma"
"Retour de l'éléphant (le)","1 (1 avis)","Actes Sud","Roman Graphique","Hornschemeier (Paul)","Hornschemeier (Paul)"
"Révélations","3.5 (12 avis)","Soleil","Fantastique","Jenkins (Paul)","Ramos (Humberto)"
"Rex Mundi","4 (2 avis)","Semic","Policier/Thriller","Nelson (Arvid)","Johnson (Eric)"
"Rip Kirby","4 (1 avis)","Hachette/Glénat","Policier/Thriller","Raymond (Alex)","Raymond (Alex)"
"Ripple","3.43 (7 avis)","Seuil","Roman Graphique","Cooper (Dave)","Cooper (Dave)"
"Rising Stars","3.2 (10 avis)","Semic","Fantastique","Straczynski (J. Michael)","Cha (Keu)/Zanier (Christian)/Lashley (Ken)"
"RoboCop","2.33 (3 avis)","Albin Michel","Science-Fiction","Grant (Steven)","Ryp (Juan José)"
"Rock et moi (le)","3.5 (2 avis)","Rackham","Humour","Sacco (Joe)","Sacco (Joe)"
"Rois vagabonds (les)","4.67 (3 avis)","Vertige Graphic","Roman Graphique","Vance (James)","Burr (Dan)"
"Rolf","4 (1 avis)","Les Humanoïdes Associés","Science-Fiction","Sea (Harvey)","Corben (Richard)"
"Ronin","3.5 (2 avis)","Semic","Science-Fiction","Miller (Frank)","Miller (Frank)"
"Runners","3.5 (2 avis)","Kymera","Science-Fiction","Wang (Sean)","Wang (Sean)"
"Ruptures","3 (1 avis)","Cà et Là","Roman Graphique","Watson (Andi)","Watson (Andi)"
"Ruse","3 (1 avis)","Semic","Fantastique","Waid (Mark)","Guice (Butch)"
"Saga d'Iron-Jaw (la)","2 (1 avis)","LUG","Fantasy","Fleischer (Michael)","Sekowsky/Marcos"
"Sam and Twitch","3.63 (8 avis)","Semic","Policier/Thriller","Bendis (Brian Michael)/Mc Farlane (Todd)","Collectif (un auteur par album)"
"Same Difference","3.5 (4 avis)","6 Pieds Sous Terre","Roman Graphique","Kim (Derek Kirk)","Kim (Derek Kirk)"
"Sandman","3.85 (13 avis)","Delcourt","Fantastique","Gaiman (Neil)","Collectif"
"Sandman - Les Chasseurs de Rêves","4.14 (7 avis)","Norma","Fantastique","Gaiman (Neil)","Amano (Yoshitaka)"
"Sandman - Nuits Éternelles","3.88 (8 avis)","Delcourt","Fantastique","Gaiman (Neil)","Collectif"
"Sans issue","2 (1 avis)","Cornélius","Inclassable","Crumb (Robert)","Crumb (Robert)"
"Santa Claus","3 (2 avis)","Delcourt","Fantasy","Ploog (Michael G.)","Ploog (Michael G.)"
"Sarcophage","2.5 (2 avis)","Semic","Science-Fiction","Hester (Phil)","Huddleston (Mike)"
"Sebastian X","2.5 (2 avis)","Les Humanoïdes Associés","Policier/Thriller","La Neve (Michelangelo)","Immonen (Stuart)"
"Sentiers de la Perdition (les)","3 (7 avis)","Delcourt","Policier/Thriller","Collins (Max Allan)","Rayner (Richard Piers)"
"Seules contre tous","3.5 (2 avis)","Seuil","Roman Graphique","Katin (Miriam)","Katin (Miriam)"
"Sgt. Rock","4 (1 avis)","Soleil","Aventure","Kanigher (Robert)","Kubert (Joe)"
"Shang-Chi, Maître du Kung-Fu","3 (1 avis)","Panini Comics","Aventure","Moench (Doug)","Gulacy (Paul)"
"Shrek","1 (1 avis)","Panini Comics/Generation Comics","Aventure","Evanier (Mark)","Bachs (Ramon)"
"Simpson (les)","3 (1 avis)","Dino","Humour","Collectif (un auteur par album)","Collectif (un auteur par album)"
"Sin City","3.96 (24 avis)","Rackham","Policier/Thriller","Miller (Frank)","Miller (Frank)"
"Sinkha","2.75 (4 avis)","Comics USA","Science-Fiction","Patrito (Marco)","Patrito (Marco)"
"Sketchbook reports","2 (1 avis)","Cornélius","Documentaire","Crumb (Robert)","Crumb (Robert)"
"Sláine","4 (4 avis)","Zenda/Soleil","Fantasy","Mills (Pat)","Bisley (Simon)/Autres"
"Slow News Day","3.25 (4 avis)","Cà et Là","Roman Graphique","Watson (Andi)","Watson (Andi)"
"Small Gods","3 (2 avis)","Delcourt","Policier/Thriller","Rand (Jason)","Ferreyra (Juan E.)"
"Smoke","4 (1 avis)","Delcourt","Science-Fiction","De Campi (Alex)","Kordey (Igor)"
"Snoopy","2.94 (16 avis)","Dargaud","Humour","Schulz (Charles M.)","Schulz (Charles M.)"
"Sock monkey","4 (1 avis)","Rackham","Inclassable","Millionaire (Tony)","Millionaire (Tony)"
"Sojourn","3 (3 avis)","Semic","Fantasy","Marz (Ron)","Land (Greg)"
"Soldat Inconnu (le)","3 (2 avis)","Le Téméraire","Policier/Thriller","Ennis (Garth)","Plunkett (Killian)"
"Solo","3 (3 avis)","TOTH","Inclassable","Corben (Richard)","Corben (Richard)"
"Spawn","4 (6 avis)","Delcourt","Fantastique","Mc Farlane (Todd)","Mc Farlane (Todd)"
"Spectre (le)","4 (1 avis)","Aredit","Fantastique","Siegel (Jerry)","Baily (Bernard)"
"Spider-Man : Bleu","4 (1 avis)","Panini Comics/Marvel","Fantastique","Loeb (Jeph)","Sale (Tim)"
